Age,Telephone_Number,Family_Members_with_Passes,Previously_Owned_Passes,Club_Member,Distance_from_Park_km,Pass_Type
56,+1-55701876,1,4,True,44.89816827324624,Gold
69,+1-64152311,1,3,True,4.073727440169591,Gold
46,+1-77547334,0,1,False,9.838632012368357,None
32,+1-00176841,0,0,False,42.98806020661206,None
60,+1-67664153,0,3,True,26.281220438082578,Gold
25,+1-18654232,3,2,False,4.003137559033376,Gold
38,+1-72666612,2,3,False,16.51727304961083,Gold
56,+1-82188382,1,0,False,8.200363729447204,None
36,+1-66732240,3,3,False,41.267953090838326,Gold
40,+1-25248115,1,0,False,4.441671607599105,Silver
28,+1-57181016,1,1,False,28.4926557752671,None
28,+1-74505720,2,1,False,0.8548395803711345,Silver
41,+1-30740781,0,4,True,35.230628444279176,Gold
53,+1-87621645,0,1,False,2.8083198513652894,None
57,+1-31826715,1,3,False,4.129738181128674,Gold
41,+1-76205754,0,2,True,19.58354987243725,Gold
20,+1-71003580,0,3,False,0.3235324990124227,Silver
39,+1-04445728,2,1,True,114.57222208293683,None
19,+1-03878082,1,2,False,9.455041831302903,Silver
41,+1-80085364,0,1,False,0.14337226045907694,None
61,+1-67707537,0,0,False,59.91328015057435,None
47,+1-23563365,0,3,False,2.0676631179830043,Silver
55,+1-70666678,0,2,False,62.24397227645676,None
19,+1-81663870,1,4,False,48.09436483406022,Silver
38,+1-11703486,3,2,False,3.8706029348783826,Gold
50,+1-78644548,1,2,False,3.6004167191334586,Silver
29,+1-22665264,0,2,False,40.696048308733346,None
39,+1-61570300,0,4,False,46.140153630284765,None
61,+1-76013027,0,2,False,14.13758337778372,None
42,+1-77554836,1,3,False,62.725252749433956,None
66,+1-08686153,0,2,False,6.635689137645455,Silver
44,+1-21575841,1,1,False,28.309380964659255,Silver
59,+1-78357845,3,2,True,16.10437014296,Gold
45,+1-34685573,1,2,False,12.178559171614523,Silver
33,+1-26411570,1,4,False,23.13600603868305,Gold
32,+1-51160567,1,0,True,10.819026944333455,Silver
64,+1-65825310,1,4,False,7.562841480924191,Gold
68,+1-02310365,0,4,False,23.329081514153003,Silver
61,+1-58134077,1,2,False,22.48785048584412,Silver
69,+1-54722142,1,0,False,49.895956702342076,None
20,+1-25713600,0,4,False,31.547677724324885,None
54,+1-66003443,3,1,False,12.220547203828769,Gold
68,+1-76860606,3,0,False,34.899570900829254,Silver
24,+1-78233862,0,4,False,3.720550885606472,Gold
38,+1-46701616,1,2,False,6.009799667015729,Silver
26,+1-81631640,1,1,True,26.47649569318654,Gold
56,+1-42657418,1,0,False,24.417352371001254,None
35,+1-75686256,0,1,False,22.664035970219015,None
21,+1-12350846,0,3,False,30.17073994917873,Silver
42,+1-88002510,1,4,False,5.026265596091266,Gold
31,+1-04303218,3,2,False,48.47076926658159,Gold
67,+1-06344058,1,3,True,62.486437372590814,Gold
26,+1-16543353,1,2,False,22.086199762324693,Silver
43,+1-45468663,2,4,False,34.63972710401865,Gold
19,+1-07304737,1,3,True,51.389853013463295,Gold
37,+1-72820151,1,0,True,31.518271187409994,Silver
45,+1-50048722,0,3,False,17.100162360734323,Silver
64,+1-02070486,0,0,False,34.486919597883684,None
24,+1-38815376,0,0,False,80.10189719926838,None
61,+1-68450515,0,2,True,10.129476479561097,Gold
25,+1-87872755,2,1,False,48.465690106967216,None
64,+1-52035166,0,1,False,178.31292914992113,None
52,+1-33018778,0,0,True,43.17626499147537,None
31,+1-68152527,1,4,True,11.16301445523857,Gold
34,+1-35811611,1,1,False,3.9075160046479978,None
53,+1-38717316,0,1,False,23.592482330778765,None
67,+1-54017021,3,4,False,3.708624897771269,Gold
57,+1-43647353,2,2,False,18.577329870591466,Silver
21,+1-10073476,0,0,True,12.315692964969525,Silver
19,+1-77515002,0,3,False,19.373299592932582,None
23,+1-24056232,0,3,False,11.34324536860323,None
59,+1-07107663,0,0,False,55.9093943558699,None
21,+1-85100834,0,2,False,17.23776267093688,None
46,+1-23738851,0,3,True,3.323190817566948,Gold
35,+1-68526402,1,1,True,31.133598703694215,Silver
43,+1-46254057,0,2,False,45.20679205650857,None
61,+1-01318773,2,4,False,16.587225901465814,Gold
51,+1-43817102,0,0,False,27.913972943388362,None
27,+1-82860482,2,3,False,17.726136278518638,Gold
53,+1-84858667,0,0,False,6.731805199081784,None
31,+1-68856180,1,4,False,27.264806594711402,Gold
48,+1-02541833,2,3,True,36.247250857046886,Gold
65,+1-47343527,3,0,False,8.598480141754367,Gold
32,+1-54161064,0,4,False,37.10335907725558,None
25,+1-03368101,0,1,True,58.97643196054097,Silver
31,+1-65300406,1,4,False,74.70538935782932,Silver
40,+1-00120874,1,2,False,5.681351913458524,Gold
57,+1-14503814,2,2,True,5.494170572404245,Gold
38,+1-03358285,3,4,True,61.0305420261721,Gold
33,+1-61551110,1,1,False,34.6220543140002,None
62,+1-47147412,1,0,False,4.171118594728728,None
35,+1-54334181,1,0,False,20.503249633587256,None
64,+1-18263536,0,1,True,42.78546028890395,None
41,+1-02205876,2,3,True,6.660365504215595,Gold
43,+1-75828368,0,4,True,72.37303457474212,Silver
42,+1-11828451,2,2,True,60.2879289854491,Gold
62,+1-78155748,2,2,False,27.01010242309152,Gold
58,+1-08632502,1,2,False,45.11697642285773,Silver
46,+1-18213105,1,0,False,4.831431744907881,None
32,+1-71827722,0,0,False,8.556625659079648,None
62,+1-50302844,3,1,True,44.65831981360008,Gold
18,+1-32437375,0,3,False,17.629957927119463,None
42,+1-43338385,0,4,True,5.990756685407942,Gold
24,+1-62720415,3,2,False,10.279188173898747,Gold
26,+1-80300710,0,1,True,29.202549278529872,Silver
41,+1-73234002,3,3,False,1.258671855850818,Gold
18,+1-50160635,0,0,True,4.814546515621784,Silver
61,+1-78583578,0,2,True,6.789902475058459,Gold
25,+1-21530788,1,4,False,65.53695029245065,None
41,+1-18646875,1,2,True,65.59524343747177,Silver
28,+1-30525531,1,2,True,7.16496910078856,Gold
68,+1-81206080,3,4,False,27.3530634626612,Gold
34,+1-46287246,0,1,True,13.397052617125668,Silver
25,+1-34288616,0,4,False,1.5496960338145187,Gold
52,+1-64823053,0,4,False,4.9972966682264515,Silver
52,+1-01287630,1,0,False,0.15907363309747055,Silver
50,+1-73283381,2,1,True,124.48785732646172,None
22,+1-43848818,0,1,True,31.471447084672157,Silver
59,+1-23000874,0,3,True,4.268180574291892,Gold
56,+1-48226851,0,3,False,39.680589465929906,None
58,+1-01087627,2,0,True,28.428125128978966,Gold
45,+1-11260763,2,0,True,6.96377559934962,Gold
24,+1-40300066,0,3,False,20.38386235112012,None
26,+1-31277588,1,3,False,28.29668296510662,Gold
25,+1-30041560,0,1,False,13.47970343252815,None
29,+1-57465368,2,3,False,95.55822794522975,None
51,+1-64621434,0,4,False,2.985584865816697,Silver
50,+1-73866757,2,2,False,4.041834578683219,Gold
65,+1-20508116,0,4,False,58.26454159863866,None
40,+1-17566588,0,3,False,8.642209751420246,Silver
41,+1-68220431,2,2,False,4.185668878467453,Gold
54,+1-82754032,1,0,True,14.679894709864772,Silver
52,+1-04512538,0,3,False,5.530453421750056,Silver
61,+1-43151628,2,3,False,21.057354109720794,Gold
57,+1-47572242,2,0,True,39.691002151888604,Gold
39,+1-77130338,1,3,False,42.26707195107093,Silver
44,+1-21880572,0,2,False,10.835498468590302,None
52,+1-81506263,0,0,True,35.14468934701762,None
18,+1-84275127,1,0,False,100.96289787732213,None
52,+1-65082466,0,1,False,0.22342606952672575,None
54,+1-23671867,2,3,False,31.185853708848445,Silver
64,+1-55834803,2,1,True,20.769898888072138,Gold
31,+1-68578307,0,2,False,15.03833967406681,None
20,+1-10688256,0,2,True,7.04140203342762,Gold
18,+1-81763174,0,0,True,3.972815790101354,Silver
22,+1-56073801,2,1,False,76.11679206182085,None
43,+1-50374850,1,3,False,0.927041362793629,Gold
31,+1-55575413,3,2,True,19.039966272701694,Gold
56,+1-43161040,0,1,False,6.875848710362778,None
44,+1-00580488,3,0,False,4.779940096158137,Gold
26,+1-07070475,1,4,False,13.043723930170685,Gold
32,+1-80802021,1,0,False,11.39884917673368,None
32,+1-18703003,0,0,False,18.58377919970455,None
43,+1-12813014,0,1,False,20.38570289052853,None
59,+1-06357510,1,4,False,21.056847792100534,Gold
30,+1-77850825,0,3,False,4.24400305069132,Silver
68,+1-82446336,0,0,False,5.616096176235186,None
49,+1-83355602,2,0,False,11.754051477127275,None
56,+1-85542402,0,4,False,2.527523678045056,Gold
66,+1-34832056,0,3,False,53.74812142039304,None
69,+1-70341075,1,0,False,3.0837028398780175,Silver
