Employee_ID,Full_Name,Department,Job_Title,Location,Performance_Rating,Hire_Date,tenure_years,pred_rating
79,Employee 079,IT Support,Specialist,"Almaty, KZ",5.0,2012-05-15,13.389041095890411,4.998333333333334
228,Employee 228,Marketing,Engineer,"Warsaw, PL",5.0,2012-11-24,12.860273972602739,5.0
73,Employee 073,Engineering,Coordinator,"Bishkek, KG",5.0,2013-11-17,11.87945205479452,5.0
61,Employee 061,Marketing,Lead,"Warsaw, PL",5.0,2014-01-03,11.75068493150685,4.999
370,Employee 370,Marketing,Engineer,"Tashkent, UZ",5.0,2015-01-02,10.753424657534246,4.999666666666667
396,Employee 396,HR,Specialist,"Istanbul, TR",5.0,2015-01-12,10.726027397260275,4.999666666666667
108,Employee 108,Sales,Coordinator,"Tashkent, UZ",5.0,2015-08-08,10.156164383561643,4.998333333333333
96,Employee 096,IT Support,Coordinator,"Istanbul, TR",5.0,2016-04-13,9.473972602739726,4.999666666666667
219,Employee 219,HR,Analyst,"Astana, KZ",5.0,2017-03-17,8.547945205479452,4.999333333333333
55,Employee 055,Engineering,Coordinator,"Tashkent, UZ",5.0,2018-05-20,7.372602739726028,5.0
213,Employee 213,Marketing,Specialist,"Bishkek, KG",5.0,2019-04-06,6.493150684931507,4.999333333333333
264,Employee 264,HR,Analyst,"Istanbul, TR",5.0,2019-10-27,5.934246575342466,4.999333333333333
342,Employee 342,Engineering,Coordinator,"Bishkek, KG",5.0,2020-04-13,5.471232876712329,4.999333333333333
282,Employee 282,Operations,Manager,"Astana, KZ",5.0,2020-05-06,5.4082191780821915,5.0
28,Employee 028,Finance,Coordinator,"Warsaw, PL",5.0,2020-08-12,5.13972602739726,4.9940000000000015
255,Employee 255,IT Support,Specialist,"Istanbul, TR",5.0,2020-11-25,4.852054794520548,4.999666666666667
284,Employee 284,Operations,Coordinator,"Almaty, KZ",5.0,2021-12-16,3.7945205479452055,4.998333333333334
269,Employee 269,HR,Engineer,"Tashkent, UZ",4.9,2012-05-26,13.35890410958904,4.877999999999991
273,Employee 273,Sales,Engineer,"Warsaw, PL",4.8,2014-04-03,11.504109589041096,4.795999999999976
